,Time Stamp,Region,Latitude,Longitude,Risk-Score,Risk-Level
123,03-19-2020,Brentwood,34.0521403,-118.4740699,0.0,0
124,03-19-2020,Burbank,34.181648200000005,-118.3258554,0.32196027209918,1
125,03-19-2020,Calabasas,34.144664299999995,-118.6440973,0.0,0
126,03-19-2020,Carson,33.832204299999994,-118.2517547,0.4987132879240436,1
127,03-19-2020,Castaic,34.488882200000006,-118.6228656,0.17289954118489043,1
128,03-19-2020,Covina,34.1024,-117.85486499999999,0.24619031276580183,1
129,03-19-2020,Crestview,34.0621851,-118.4250119,0.9533130205263305,1
130,03-19-2020,Culver City,34.021122399999996,-118.3964665,0.0,0
131,03-19-2020,Diamond Bar,34.02862260000001,-117.81033670000001,0.0,0
132,03-19-2020,Eagle Rock,34.1366877,-118.20767959999999,0.0,0
133,03-19-2020,East Los Angeles,34.0239015,-118.17201570000002,0.3503728619014223,1
134,03-19-2020,Echo Park,34.0779819,-118.2567824,0.0,0
135,03-19-2020,Encino,34.1591324,-118.50161659999999,0.7078819492068755,1
136,03-19-2020,Gardena,33.8963593,-118.3053037,0.0,0
137,03-19-2020,Glendale,34.146941600000005,-118.24784709999999,0.2041548285426041,1
138,03-19-2020,Granada Hills,34.26615579999999,-118.5174342,0.0,0
139,03-19-2020,Hancock Park,34.0677881,-118.33257649999999,0.8521892195474315,1
140,03-19-2020,Hawthorne,33.9188589,-118.34832560000001,0.0,0
141,03-19-2020,Hollywood,34.0980031,-118.32952320000001,1.605402279659071,2
142,03-19-2020,Hollywood Hills,34.1311792,-118.33554740000001,0.356162673533926,1
143,03-19-2020,Inglewood,33.9562003,-118.353132,0.22281332592159694,1
144,03-19-2020,La Mirada,33.906097100000004,-118.0107092,0.0,0
145,03-19-2020,Lawndale,33.8885217,-118.3531991,0.0,0
146,03-19-2020,Lomita,33.8036545,-118.3195014,0.0,0
147,03-19-2020,Lynwood,33.924831,-118.2024154,0.06383006155182366,0
148,03-19-2020,Manhattan Beach,33.8915985,-118.39512409999999,0.07399776144832909,0
149,03-19-2020,Mar Vista,34.0037605,-118.43916409999999,0.5433558906773847,1
150,03-19-2020,Melrose,34.0536909,-118.2427666,2.470893483148282,3
151,03-19-2020,Monterey Park,34.051522,-118.129807,0.15840807824520964,1
152,03-19-2020,North Hollywood,34.1729044,-118.37403710000001,0.7601437794442029,1
153,03-19-2020,Northridge,34.2345615,-118.53693159999999,0.0,0
154,03-19-2020,Pacific Palisades,34.0480643,-118.5264706,1.0229780914081585,2
155,03-19-2020,Palms,34.024732799999995,-118.4116152,0.24481682935510263,1
156,03-19-2020,Playa Vista,33.976010200000005,-118.4181654,0.0,0
157,03-19-2020,Reseda,34.200078399999995,-118.53698840000001,0.2109687274216114,1
158,03-19-2020,San Dimas,34.1066756,-117.8067257,0.0,0
159,03-19-2020,San Pedro,33.7358518,-118.2922934,0.0,0
160,03-19-2020,Santa Clarita,34.3916641,-118.54258600000001,0.329703957639483,1
161,03-19-2020,Santa Monica,34.019470399999996,-118.4912273,1.0153662209326513,2
162,03-19-2020,Santa Monica Mountains,34.031132,-118.26150700000001,0.0,0
